KIC,TIC
5301181,170345552
4852475,184296654
9788881,273878168
10334336,159172664
7513625,158385977
8765681,272273556
11031840,26749529
5722931,184560770
8013216,164830075
6067314,170651034
4577931,184165082
7741327,158389835
6023603,120252595
11601984,399825801
3539509,122225016
8314728,272718747
6701735,271155570
12158458,417678548
11454782,26419057
7267691,158317350
12405779,406951623
9408679,270617631
4570498,138572867
10355063,273128970
4667737,138971991
9763274,158730202
7764677,271764598
5037621,170347431
5780308,121602471
10798838,424865573
5112730,139154256
7190578,158795328
8817551,159722016
8197207,185057506
6356741,122066797
3117046,137219755
6049733,138636520
8242019,271259444
11656137,299030524
2973679,121084210
7939475,123490330
7011098,164412957
6233642,171512108
5534814,137411611
4949935,170347473
8188032,274126213
11617381,27390032
10789153,298966279
5731428,170649166
2995050,137686354
3934539,120314911
9757269,164784055
8479377,164677225
6195963,121793080
9595264,271165152
3953140,137093596
9164111,271664367
10718198,405686227
9349226,271042548
5387279,170238673
5616942,122601455
9775694,270789845
9950215,159725167
10591840,158731802
12170493,27911378
3848540,122685070
3951778,122605416
8110340,272175463
3940756,121122865
5796268,138219300
7530506,63368015
11297295,26583858
6441436,159653895
10321063,123494850
4934893,138729886
9716543,271041260
3546341,351060278
8950191,159520367
6367580,137901674
6390479,171093512
12206893,406999226
5792128,137410903
9697815,351909376
5256967,120497307
3459775,139103698
9216095,159581400
3649517,137633747
5537217,137899267
5621244,137411444
7538030,271261890
10976896,424866068
9533523,271254954
10477733,271167675
9640209,158491284
5952282,121945503
2585358,138209809
8229388,159382507
5654105,172875984
7300190,272708095
9844514,272844132
10258462,164723887
12122194,28082947
6890335,274119814
7819721,159523281
6592259,158427669
10337033,159516792
9334346,158665321
6836780,123315220
4907817,120821134
3647291,351060806
4928882,138093843
3541938,122518998
7019665,158388523
8365170,63001667
2555680,120824797
2831983,120637421
9427283,269033549
9009514,158320397
10287524,272600134
5553294,168814102
1163286,137307870
6863257,63006692
9815201,164526182
9881712,158487860
4143298,121274921
8551692,158789458
4172112,138891171
11909552,299153618
9847159,273379332
7744191,158791385
6853248,158794816
7534037,270611893
12934956,267744571
8331470,185184593
9465671,63129193
4665138,377918673
5821550,171882432
10477697,271167658
7439054,159219136
5478163,171582662
11355603,27186215
7529937,63283942
6034141,121943398
8426007,159221780
8740476,279913183
8518450,268482232
4068611,377874365
10355236,273128959
7434779,158791959
3446837,137550087
3634622,121468326
8355714,158557690
9764204,158841422
8574295,272719939
11081468,407001823
11558146,26414784
6201333,122598474
8390091,268821045
4568172,138215207
6549676,171092903
6836635,123315191
9529640,275489298
5792936,137627827
5537064,137899226
5202931,184247619
3663270,184168227
12833827,416267824
12267759,27777856
8882677,159452444
9211352,158836515
4651311,122595041
5016549,138102575
10813172,28230071
8143680,123313339
10594280,159052495
8759016,270786776
9716376,270957784
7917493,268924707
8327879,239273773
6938673,158793046
10333223,158985103
2571179,122374969
1849403,120761852
6836933,123316056
6956595,270948996
4241934,120417272
4669612,184089268
8242592,271349834
6921795,123231913
4568674,138301566
9775219,270697629
6922244,123233041
12061657,26473407
9237491,274019943
10070204,159174543
7622473,272177507
3431597,121394972
7871554,164410486
6279982,122298138
8701682,272273462
7741780,158433033
5809827,239227462
4990438,120103815
9278686,159581455
6860650,159575169
2845611,122213472
5689704,120767730
12059150,267672168
11822156,27640978
6632768,274032671
10905098,48304673
2695427,120963420
3525752,120426004
3946621,121988999
12004789,243270927
9791622,268614662
12009953,416281637
10483070,272598144
11611977,424867931
9774314,270518137
4739363,122070802
8842494,268713979
10198123,158488486
5095111,122446906
3128585,138568337
6447257,138098008
8452675,268158262
8313286,272370344
10676246,27645457
8016890,158390277
9473563,271425843
4840267,137971403
11652015,405684416
4356683,121988342
10339708,63070918
7680159,159577110
6042010,137341329
10873476,27905380
5295280,168815419
10544503,271659296
6196443,121943702
11098986,28361973
6937402,158633475
7037041,63372057
9222717,270617001
9692282,123444900
5782325,121942834
10514867,123358343
11622723,28084733
11970988,27533070
10007916,159300712
5868753,121945630
4067699,138645503
11973805,351193255
3865098,139035522
11129145,399951909
3240489,137815953
7367398,275570001
11756792,298963362
6266505,120252971
10784141,405686053
4995401,120895426
9202050,164527138
5716328,138962666
11253145,27647599
9408786,270698742
4471364,138214977
10473573,275487112
11362970,28090842
4853494,184468493
10120966,123447012
4446714,120573831
5601413,120422520
10799760,26750244
10845199,48353495
9343549,63207088
8646916,268157211
10880111,264508883
8359525,159098338
9076376,158113531
11567375,27641943
4949230,170233646
4171788,138805535
9892414,63290042
6870835,270863599
5192526,138102211
3629032,120692600
4814510,120103511
5026088,184090335
7098363,164730864
8609377,164779256
11559848,424815337
10291657,273594199
8747837,159097297
9529011,63452483
9095347,270856672
8647109,268306959
8546792,158114458
8410374,351804265
8377394,271969690
9910816,268380602
7870434,123416526
5792250,137556600
10598740,159726817
5695124,121602656
9725701,273372108
8588966,240195139
6268002,120421411
3834345,120692263
10098068,269023070
10010483,159725411
10121330,123495122
6545653,170249754
5521096,121329702
12252492,298897447
9575580,352014225
5515077,120419431
7545926,272486637
6928532,164674865
5810959,169083178
4670415,184165011
10091623,273373654
5461285,184009255
9349935,271255615
8519318,268715474
5962693,137756044
8546016,351911132
10524857,158412574
8694747,270786620
5297394,169459548
